term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Billings, John S. (John Shaw), 1838-1913",,viaf%%http://viaf.org/viaf/18027918|lcnaf%%http://id.loc.gov/authorities/names/n50011181,1838/1913,,John Shaw,,,John S.,,Billings,c78bae7c-bd1a-4af4-8989-d4b0ddb7d7e2
"Birren, James E.",,viaf%%http://viaf.org/viaf/32094701|lcnaf%%http://id.loc.gov/authorities/names/n79119227,,,,,,James E.,,Birren,c16cdb3a-4234-4fe2-bc7e-6925c258785e
"Bisset, George",,,,,,,,George,,Bisset,f6ee624b-72ea-4a1d-8524-0d6c46fed38e
"Blalock, Alfred, 1899-1964",,viaf%%http://viaf.org/viaf/30369510|lcnaf%%http://id.loc.gov/authorities/names/n85020962,1899/1964,,,,,Alfred,,Blalock,adbd4c5e-f4b0-4efb-88d7-df8a7f86f2c7
"Blanding, Sarah Gibson, 1898-1985",,viaf%%http://viaf.org/viaf/4369158006000202100000|lcnaf%%http://id.loc.gov/authorities/names/no2020009891,1898/1985,,,,,Sarah Gibson,,Blanding,e90fba8a-a8d6-4ac4-a6ca-2429cd5f2196
"Blaustein, Bernard D., 1929-2006",,viaf%%http://viaf.org/viaf/109213825|lcnaf%%http://id.loc.gov/authorities/names/n81103763,1929/2006,,,,,Bernard D.,,Blaustein,0df2d18b-6510-4711-a9b0-218bea0a9a22
"Bligh, Janet",,,,,,,,Janet,,Bligh,fa954b13-718f-4adf-9201-b5fbe87dce63
"Bliss, Michael, 1941-2017",,viaf%%http://viaf.org/viaf/110214953|lcnaf%%http://id.loc.gov/authorities/names/n83025009,1941/2017,,,,,Michael,,Bliss,0c59db31-10a6-496d-9b3d-d75e3ac72d91
"Block, James A.",,,,,,,,James A.,,Block,a496f497-af4c-44de-ae27-3d0ccd6fcf51
"Bloomberg, Michael",,viaf%%http://viaf.org/viaf/160543179|lcnaf%%http://id.loc.gov/authorities/names/n96119073,,,,,,Michael,,Bloomberg,0b7250ff-5fcf-4e1b-8b8c-0dc6d50d2de1
"Blumberg, Helen",,,,,,,,Helen,,Blumberg,362c82b2-cfa9-4dcb-bbe8-31e12559b1e1
"Blunck, Joachim",,,,,,,,Joachim,,Blunck,7d6f1146-ce63-4ce4-9f66-f74b4880eb40
"Bly, H. D.","Location information: Hanover, NH, NH",,,,,,,H. D.,,Bly,dace7cae-7e0b-4df7-ba6a-34722a44e1a5
