term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,field_subordinate_name,field_unique_id
"George Roberts, Inc.",,,,,"George Roberts, Inc.",,fcec07d3-21fd-42ae-9e95-7c5788acdd4c
Gilbert & Bacon,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",viaf%%http://viaf.org/viaf/130582664|lcnaf%%http://id.loc.gov/authorities/names/nr95007356,,,Gilbert & Bacon,,a7e10923-3c98-48e9-aba8-4129ec3a1c92
Gilbert Studios,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",,,,Gilbert Studios,,577a5063-db32-4672-bb95-99cbac55bf61
Girl Scouts of the United States of America,,viaf%%http://viaf.org/viaf/133226330|lcnaf%%http://id.loc.gov/authorities/names/n79123998,,,Girl Scouts of the United States of America,,3ec31d40-fff4-4e11-b3e5-6721a4769021
Goddard Institute for Space Studies,,viaf%%http://viaf.org/viaf/124306687|lcnaf%%http://id.loc.gov/authorities/names/n50067309,,,Goddard Institute for Space Studies,,3d9020a5-265d-4472-b3a0-9381c752c26f
Goddard Space Flight Center,,viaf%%http://viaf.org/viaf/138085257|lcnaf%%http://id.loc.gov/authorities/names/n80044740,,,Goddard Space Flight Center,,08723a2d-9483-4185-a741-061117ba79e5
Goucher College,,viaf%%http://viaf.org/viaf/158904642|lcnaf%%http://id.loc.gov/authorities/names/n50071767,,,Goucher College,,e6395fca-ad50-4b5c-b6f8-124e2394c95b
Great Britain. Hydrographic Department,,viaf%%http://viaf.org/viaf/151192039|lcnaf%%http://id.loc.gov/authorities/names/n79043906,,,Great Britain,Hydrographic Department,72e2090a-036d-49b8-a693-895622b2a2e6
"Greater Baltimore Committee, Inc.",,viaf%%http://viaf.org/viaf/263835449|lcnaf%%http://id.loc.gov/authorities/names/n87860665,,,"Greater Baltimore Committee, Inc.",,8916cc66-29b5-43f3-9b6d-d1f609b380b2
Greater Homewood Community Corporation,,viaf%%http://viaf.org/viaf/151608031|lcnaf%%http://id.loc.gov/authorities/names/no2002095195,,,Greater Homewood Community Corporation,,f9fc0c0e-d5a3-4b35-ae33-1ec9efa6f325
Greenbrier Photography,,,,,Greenbrier Photography,,b7ecd7fa-70fc-4608-aaeb-a0a62eedb7e4
Greystone,Location information: New York|basic_html|Location information: New York,,,,Greystone,,67355eaf-c505-4d24-84b6-da7e34e0b4c7
Greystone Studios Inc.,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Greystone Studios Inc.,,e085365d-d2b8-4424-86d6-7287276a72bf
Greystone-Stoller,Location information: New York|basic_html|Location information: New York,,,,Greystone-Stoller,,e6b4c643-3869-4354-bed2-7524062394eb
Greystone. Central News,Location information: New York|basic_html|Location information: New York,,,,Greystone,Central News,629fc8c6-7487-488e-9288-cac0ee37fc43
H. H. Sidman Co.,,lcnaf%%http://id.loc.gov/authorities/names/no2019172956|viaf%%http://viaf.org/viaf/34157468020622322976,,,H. H. Sidman Co.,,7816db97-764c-4755-89d3-bad828505d6c
Hardie Brothers,Location information: Puerto Rico|basic_html|Location information: Puerto Rico,,,,Hardie Brothers,,5d12e55b-03f7-49fe-b355-5c58bc89c5b2
"Harriet Lane Home (Baltimore, Md.)",,viaf%%http://viaf.org/viaf/143139005|lcnaf%%http://id.loc.gov/authorities/names/n85244853,,,"Harriet Lane Home (Baltimore, Md.)",,0f6477e8-e778-493a-b4c7-3c8a085a6309
Harris & Ewing,"Location information: Washington, DC|basic_html|Location information: Washington, DC",viaf%%http://viaf.org/viaf/147865168|lcnaf%%http://id.loc.gov/authorities/names/n88646991,,,Harris & Ewing,,1ce72897-fa6c-4483-a731-58bae89d16fb
"Harry and Jeanette Weinberg Foundation, Inc.",,viaf%%http://viaf.org/viaf/317131959,,,"Harry and Jeanette Weinberg Foundation, Inc.",,6cca9b46-1068-4f9a-a527-ee03f6e669f2
Harvard University,,viaf%%http://viaf.org/viaf/128987800|lcnaf%%http://id.loc.gov/authorities/names/n78096930,,,Harvard University,,346f3777-d299-4494-9615-150f88475c92
Haverford College,,viaf%%http://viaf.org/viaf/125160105|lcnaf%%http://id.loc.gov/authorities/names/n50078129,,,Haverford College,,0c1b45d8-4157-42c8-8979-951188a293a5
Hayden Planetarium. Junior Astronomy Club,,viaf%%http://viaf.org/viaf/143161333|lcnaf%%http://id.loc.gov/authorities/names/n87813981,,,Hayden Planetarium,Junior Astronomy Club,36b2d211-bacb-4506-84f5-31807d3cc09f
Hicks photofinishers,,,,,Hicks photofinishers,,e8ce1519-6399-494b-a9ae-534cd1fae555
Hill & Yard,"Location information: San Jose, CA|basic_html|Location information: San Jose, CA",,,,Hill & Yard,,e71e7e4d-e0af-4f96-9066-8b1c3d87ba05
Hodges Art Gallery,"Location information: Bristol, TN|basic_html|Location information: Bristol, TN",,,,Hodges Art Gallery,,60a1b143-656a-49c0-ba88-2b6116bad3ce
Holmes I. Mettee Studio,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Holmes I. Mettee Studio,,ca1daf74-b944-4ca1-9a52-ee9afcbb2c53
Homeier & Clark,"Location information: Richmond, VA|basic_html|Location information: Richmond, VA",,,,Homeier & Clark,,62e9f42b-4897-41eb-9968-8fbd671a766b
Homewood House Museum (Johns Hopkins University),,viaf%%http://viaf.org/viaf/136243272|lcnaf%%http://id.loc.gov/authorities/names/n2004000827,,,Homewood House Museum (Johns Hopkins University),,b54144e2-8411-4414-b0e3-554d0af37a51
Honeywell Inc.,,viaf%%http://viaf.org/viaf/151836187|lcnaf%%http://id.loc.gov/authorities/names/n80013453,,,Honeywell Inc.,,9776cd6d-0bb1-40af-84bc-1d8c8bac65b1
Hopkins-Nanjing Center,,viaf%%http://viaf.org/viaf/233414826|lcnaf%%http://id.loc.gov/authorities/names/n2012016287,,,Hopkins-Nanjing Center,,9480b27b-a5b1-4dbb-a0f6-20e4c1952462
"Horace Mann School (New York, N.Y.)",,viaf%%http://viaf.org/viaf/125419390|lcnaf%%http://id.loc.gov/authorities/names/no2001097239,,,"Horace Mann School (New York, N.Y.)",,9f53fb7d-e7be-44cb-a089-f1987b939e6b
Horton Brothers,"Location information: Providence, RI|basic_html|Location information: Providence, RI",,,,Horton Brothers,,2d32f679-739c-4235-8841-e479139f16ad
Howard County Public School System (Md.),,viaf%%http://viaf.org/viaf/143161615|lcnaf%%http://id.loc.gov/authorities/names/n87819547,,,Howard County Public School System (Md.),,dad17e2d-766d-4068-a42b-c256059353c1
Hubble Space Telescope (Spacecraft),,viaf%%http://viaf.org/viaf/121711981|lcnaf%%http://id.loc.gov/authorities/names/n91011423,,,Hubble Space Telescope (Spacecraft),,3c01e5b1-da02-4f11-b2e9-09eec6ea9188
Hughes Co.,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Hughes Co.,,397d77c7-0baa-40c3-abff-e6cf8f1a667d
Human Genome Project,,viaf%%http://viaf.org/viaf/124272354|lcnaf%%http://id.loc.gov/authorities/names/n88044943,,,Human Genome Project,,1aac3e85-3573-4a35-acc7-5c6ce9e23df8
Hutzler's (Firm),,viaf%%http://viaf.org/viaf/158491358|lcnaf%%http://id.loc.gov/authorities/names/n2006163853,,,Hutzler's (Firm),,f62a505e-6d04-4429-a94f-6720db063351tid
I. H. L. Gallery,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",,,,I. H. L. Gallery,,fbe0942d-7b99-4adb-82c7-6e41dfb78c4d
Institute of Medicine (U.S.),,viaf%%http://viaf.org/viaf/156984772|lcnaf%%http://id.loc.gov/authorities/names/n79129181,,,Institute of Medicine (U.S.),,e0948213-482e-4d95-8ef8-eada2cfaccb4
Interstate Photographers,,,,,Interstate Photographers,,e0d96c7c-66b1-4651-b3c4-1ae267a283b2
J. C. & S.G. Crabb Phelps Studio,,,,,J. C. & S.G. Crabb Phelps Studio,,06daa9bd-586b-436d-a6ce-a615348fb37e
J. Dalinon Studio,SS Ile-de-France|basic_html|SS Ile-de-France,,,,J. Dalinon Studio,,457080f6-62cd-4b26-b0a0-21de297b119c
J. H. Schaefer & Son,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,J. H. Schaefer & Son,,635421bf-1f9e-460f-8414-fa102b3422ba
J. Shaefer & Sons,,,,,J. Shaefer & Sons,,f1a82d1a-7f94-4136-ae8a-7417a591d792
J. Sussman Photo Stock Co.,,,,,J. Sussman Photo Stock Co.,,03503b0f-1d33-4a3f-87d6-9a382a405a2a
James F. Hughes Co.,,,,,James F. Hughes Co.,,4a8c196e-3f7e-46f5-874c-e4f427b9a061
James Webb Space Telescope (Spacecraft),,viaf%%http://viaf.org/viaf/129468073|lcnaf%%http://id.loc.gov/authorities/names/nr97043411,,,James Webb Space Telescope (Spacecraft),,211124d5-6b05-4f14-87c4-c9280250d059
Jeffres & Rogers,,,,,Jeffres & Rogers,,bcac9431-32c9-459b-874c-8b885d4004b0
