term_name,description,field_authority_link,field_geo_alt_name,field_unique_id
Middle East,,fast%%http://id.worldcat.org/fast/1241586,,c6a2ae7d-8f37-420f-85ac-531ea345c33c
Missouri River Valley,,fast%%http://id.worldcat.org/fast/1274695,,c12d58ee-f724-4707-a416-2408168c2cc9
Moon,,fast%%http://id.worldcat.org/fast/1240375,,06f4f872-93dc-4e0b-a88f-3523d7594076
New Brunswick--Saint John,,fast%%http://id.worldcat.org/fast/1233595|geonames%%http://sws.geonames.org/6138517,,5b424876-9c7d-4945-8d80-7554f732326c
New Hampshire,,fast%%http://id.worldcat.org/fast/1204318|geonames%%http://sws.geonames.org/5164292/|viaf%%http://viaf.org/viaf/155922170,,78af5558-038d-47b3-b346-11807c7a523f
New Jersey,,fast%%http://id.worldcat.org/fast/1208379|geonames%%http://sws.geonames.org/5101760,,b38c750f-5887-4970-a79b-00a6289add2e
New Mexico--Carlsbad Caverns National Park,,fast%%http://id.worldcat.org/fast/1300329|geonames%%http://sws.geonames.org/5460461,,de9bc8b1-4da3-46d9-9dac-baa941d10ec0
New York (State),,fast%%http://id.worldcat.org/fast/1210280|viaf%%http://viaf.org/viaf/146785329|geonames%%http://sws.geonames.org/5128638/,,2eef6d70-3b40-4bc8-be41-463776f64ccb
New York (State)--Long Island,,fast%%http://id.worldcat.org/fast/1241714|geonames%%http://sws.geonames.org/5125123/|viaf%%http://viaf.org/viaf/241562607,,a0e38c3c-2822-4259-8526-d347161e69b2
New York (State)--New York,,fast%%http://id.worldcat.org/fast/1204333|geonames%%http://sws.geonames.org/5128581/|viaf%%http://viaf.org/viaf/266415900,,129ac338-a2ab-4898-9287-faf6aa164ec6
New York (State)--New York--Queens,,http://sws.geonames.org/5133266|viaf%%http://viaf.org/viaf/135462352%http://id.worldcat.org/fast/1313007,,4d65315c-2934-442a-aa2a-a7342dfd721e
New York (State)--New York--Times Square,,fast%%http://id.worldcat.org/fast/1316237|geonames%%http://sws.geonames.org/5141023/,,659896f9-1a55-485e-8a37-df3f19e36f87
Nigeria,,fast%%http://id.worldcat.org/fast/1205229|viaf%%http://viaf.org/viaf/130803976|geonames%%http://sws.geonames.org/2328926/,,1d7a5f3d-8a07-4cf7-8a92-42933e2b55b0
North America,,fast%%http://id.worldcat.org/fast/1242475|geonames%%http://sws.geonames.org/6255149/,,61a07263-032b-48d4-bf25-53ce4e3a4b75
North America--Colorado River Watershed,,fast%%http://id.worldcat.org/fast/1264747,,ebe0aa79-8d5a-41f2-9adf-cb974b19da35
North America--Mexican-American Border Region,,fast%%http://id.worldcat.org/fast/1239966|viaf%%http://viaf.org/viaf/315125105,,ce4bc933-152b-4ace-8140-019579afd788
North America--Niagara Falls,,fast%%http://id.worldcat.org/fast/1310254|geonames%%http://sws.geonames.org/6087891/,,03468dbe-fd2a-4e68-9582-0199d58ad7ba
Outer space,,fast%%http://id.worldcat.org/fast/1243437,,d64bab64-4244-412f-9d10-0cff60ea7ceb
Pennsylvania--State College,,fast%%http://id.worldcat.org/fast/1206660|geonames%%http://sws.geonames.org/5213681/|viaf%%http://viaf.org/viaf/246271487,,3777f6e7-622c-4007-b341-c8bb554a3752
Pennsylvania--Worcester (Township),,fast%%http://id.worldcat.org/fast/1331127|geonames%%http://sws.geonames.org/5220127/|viaf%%http://viaf.org/viaf/129017508,,35014e58-deb3-4fa7-8c09-08ecfa53e9b6
